"Data","AuthorDate","Citation","Species","System","Taxa","VertInvt","Disturbance","OutIn","AnthroNat1","AntroNat2","Sample1","Sample2","Sex","GenPhen","AlloSyn","Trait","Years","GLength","Darwins","Haldanes","DarwinsAbs","HaldanesAbs","Generations","HaldaneNumAbs","DarwinNumAbs"
1,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","TAUP",1,2,2,"HUMERL",111,1,-49.0955384465271,,49.0955384465271,,111,,0.00544960476756451
2,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","PALM",1,2,2,"HUMERL",110,1,-99.3551866562752,,99.3551866562752,,110,,0.0109290705321903
3,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","HAST",1,2,2,"HUMERL",110,1,-99.3551866562752,,99.3551866562752,,110,,0.0109290705321903
4,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","CHCH",1,2,2,"HUMERL",111,1,-98.4600948845971,,98.4600948845971,,111,,0.0109290705321903
5,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","KAIK",1,2,2,"HUMERL",113,1,-96.7174383379671,,96.7174383379671,,113,,0.0109290705321903
6,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","NELN",1,2,2,"HUMERL",112,1,-146.774342349641,,146.774342349641,,112,,0.0164387263431598
7,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","AUCK",1,2,2,"HUMERL",112,1,-196.240238560495,,196.240238560495,,112,,0.0219789067187754
8,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","NEWP",1,2,2,"HUMERL",112,1,-196.240238560495,,196.240238560495,,112,,0.0219789067187754
9,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","WELL",1,2,2,"HUMERL",113,1,-243.804882904699,,243.804882904699,,113,,0.0275499517682309
10,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","DUND",1,2,2,"HUMERL",113,1,-243.804882904699,,243.804882904699,,113,,0.0275499517682309
